Feature,Importance
rate_of_interest,0.4242110803928907
property_value,0.13040667514576923
LTV,0.10980517812158436
Loan_Property_Ratio,0.09118999636155117
Income_Loan_Ratio,0.07592287275280836
Credit_Score,0.07194772844467047
income,0.062096859826205345
loan_amount,0.029335499563596948
High_Income,0.002953844668566458
High_Loan,0.00213026472235696
