Model,Accuracy,Accuracy (%),Precision,Recall,F1 Score
Logistic Regression,0.7551288087711038,75.51288087711038,0.8101689428639781,0.7551288087711038,0.6514284015181497
Decision Tree,0.9093966502993206,90.93966502993206,0.9111156939001199,0.9093966502993206,0.9101004991965643
Random Forest,0.901997713055761,90.1997713055761,0.9028000621474578,0.901997713055761,0.9023643116789188
